,selection,embed_selector,model,params,metric,score
0,none,none,dummy,"{""strategy"": ""stratified""}",acc,0.5521632653061225
1,assoc,none,dummy,"{""strategy"": ""uniform""}",acc,0.5241632653061225
2,pred,none,dummy,"{""strategy"": ""stratified""}",acc,0.5283265306122449
3,embed,lgbm,dummy,"{""strategy"": ""most_frequent""}",acc,0.5160816326530612
4,embed,linear,dummy,"{""strategy"": ""uniform""}",acc,0.5288163265306122
5,wrap,none,dummy,"{""strategy"": ""stratified""}",acc,0.5242448979591836
6,none,none,gandalf,"{""lr"": 0.11827394127920969, ""wd"": 3.4216241247676274e-05, ""anneal"": true, ""depth"": 32, ""gflu_dropout"": 0.05919804556212992, ""init_sparsity"": 0.42440695282485685, ""bnorm_cont"": true, ""virtual_batch"": 16}",acc,1.0
7,assoc,none,gandalf,"{""lr"": 0.06986053249770502, ""wd"": 5.8242127680283305e-08, ""anneal"": true, ""depth"": 24, ""gflu_dropout"": 0.022216277219858707, ""init_sparsity"": 0.6368483523561826, ""bnorm_cont"": true, ""virtual_batch"": 8}",acc,1.0
8,pred,none,gandalf,"{""lr"": 0.00553763629130009, ""wd"": 5.8524109656677575e-06, ""anneal"": true, ""depth"": 20, ""gflu_dropout"": 0.09343382555434446, ""init_sparsity"": 0.2843913962569195, ""bnorm_cont"": true, ""virtual_batch"": 8}",acc,1.0
9,embed,lgbm,gandalf,"{""lr"": 0.052745227107035365, ""wd"": 9.647042485579244e-05, ""anneal"": true, ""depth"": 20, ""gflu_dropout"": 0.024377907652355358, ""init_sparsity"": 0.2084014584571401, ""bnorm_cont"": true, ""virtual_batch"": 32}",acc,1.0
10,embed,linear,gandalf,"{""lr"": 0.03025949852283038, ""wd"": 3.960090953611852e-07, ""anneal"": true, ""depth"": 4, ""gflu_dropout"": 0.03191736703568502, ""init_sparsity"": 0.3724689102542106, ""bnorm_cont"": true, ""virtual_batch"": 8}",acc,1.0
11,wrap,none,gandalf,"{""lr"": 0.03963368049533739, ""wd"": 2.2135924024595267e-05, ""anneal"": true, ""depth"": 8, ""gflu_dropout"": 0.06563011961158666, ""init_sparsity"": 0.4162351311756923, ""bnorm_cont"": true, ""virtual_batch"": 16}",acc,1.0
12,none,none,knn,"{""n_neighbors"": 10, ""weights"": ""uniform"", ""metric"": ""correlation""}",acc,0.8067755102040817
13,assoc,none,knn,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""l2""}",acc,0.8067755102040817
14,pred,none,knn,"{""n_neighbors"": 50, ""weights"": ""uniform"", ""metric"": ""correlation""}",acc,0.992
15,embed,lgbm,knn,"{""n_neighbors"": 50, ""weights"": ""uniform"", ""metric"": ""correlation""}",acc,1.0
16,embed,linear,knn,"{""n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""cosine""}",acc,0.8067755102040817
