,selection,embed_selector,model,params,metric,score
0,none,none,dummy,"{""strategy"": ""prior""}",acc,0.5160816326530612
1,assoc,none,dummy,"{""strategy"": ""most_frequent""}",acc,0.5160816326530612
2,pred,none,dummy,"{""strategy"": ""stratified""}",acc,0.5319183673469388
3,embed,lgbm,dummy,"{""strategy"": ""prior""}",acc,0.5160816326530612
4,embed,linear,dummy,"{""strategy"": ""prior""}",acc,0.5160816326530612
5,wrap,none,dummy,"{""strategy"": ""most_frequent""}",acc,0.5160816326530612
6,none,none,gandalf,"{""lr"": 0.062005805969603145, ""wd"": 2.3265073566242932e-08, ""anneal"": true, ""depth"": 4, ""gflu_dropout"": 0.08169039019271936, ""init_sparsity"": 0.6590547332037466, ""bnorm_cont"": true, ""virtual_batch"": 8}",acc,0.66
7,assoc,none,gandalf,"{""lr"": 0.018048197198568764, ""wd"": 0.0008795733365837498, ""anneal"": true, ""depth"": 4, ""gflu_dropout"": 0.04481743604922818, ""init_sparsity"": 0.7839068939843767, ""bnorm_cont"": true, ""virtual_batch"": 64}",acc,0.64
8,pred,none,gandalf,"{""lr"": 0.0032459522859506493, ""wd"": 6.454068802201974e-08, ""anneal"": true, ""depth"": 12, ""gflu_dropout"": 0.04757832567409554, ""init_sparsity"": 0.8389958320287941, ""bnorm_cont"": true, ""virtual_batch"": 8}",acc,0.7
9,embed,lgbm,gandalf,"{""lr"": 0.061550282184643465, ""wd"": 1.4712245356575479e-07, ""anneal"": true, ""depth"": 16, ""gflu_dropout"": 0.07928498097651551, ""init_sparsity"": 0.8915767847228082, ""bnorm_cont"": true, ""virtual_batch"": 8}",acc,0.72
10,embed,linear,gandalf,"{""lr"": 0.029940421539423126, ""wd"": 0.00012528724478638931, ""anneal"": true, ""depth"": 16, ""gflu_dropout"": 0.068799508722335, ""init_sparsity"": 0.4342878807136541, ""bnorm_cont"": true, ""virtual_batch"": 8}",acc,0.66
11,wrap,none,gandalf,"{""lr"": 0.01101280218736308, ""wd"": 0.0009688759859790057, ""anneal"": true, ""depth"": 12, ""gflu_dropout"": 0.0648450089878913, ""init_sparsity"": 0.28484049709809733, ""bnorm_cont"": true, ""virtual_batch"": 16}",acc,0.64
12,none,none,knn,"{""n_neighbors"": 25, ""weights"": ""uniform"", ""metric"": ""correlation""}",acc,0.528
13,assoc,none,knn,"{""n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""cosine""}",acc,0.528
