,selection,embed_selector,model,params,metric,score
0,none,none,dummy,"{""strategy"": ""prior""}",acc,0.5149999999999999
1,assoc,none,dummy,"{""strategy"": ""stratified""}",acc,0.545
2,pred,none,dummy,"{""strategy"": ""uniform""}",acc,0.5416666666666666
3,embed,linear,dummy,"{""strategy"": ""stratified""}",acc,0.5333333333333333
4,none,none,knn,"{""n_neighbors"": 1, ""weights"": ""distance"", ""metric"": ""l2""}",acc,0.7133333333333334
5,assoc,none,knn,"{""n_neighbors"": 10, ""weights"": ""distance"", ""metric"": ""cosine""}",acc,0.7133333333333334
6,pred,none,knn,"{""n_neighbors"": 25, ""weights"": ""uniform"", ""metric"": ""correlation""}",acc,0.9616666666666666
7,embed,linear,knn,"{""n_neighbors"": 10, ""weights"": ""uniform"", ""metric"": ""l2""}",acc,0.7133333333333334
8,none,none,lgbm,"{""n_estimators"": 200, ""reg_alpha"": 2.6264712109934125e-08, ""reg_lambda"": 3.0139020790829992e-05, ""num_leaves"": 3, ""colsample_bytree"": 0.7354301830353948, ""subsample"": 0.8039951686348632, ""subsample_freq"": 0, ""min_child_samples"": 39}",acc,1.0
9,assoc,none,lgbm,"{""n_estimators"": 100, ""reg_alpha"": 2.6358843248416325e-05, ""reg_lambda"": 5.788928270586863e-07, ""num_leaves"": 7, ""colsample_bytree"": 0.5953779678632355, ""subsample"": 0.44904808443389393, ""subsample_freq"": 5, ""min_child_samples"": 67}",acc,1.0
10,pred,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 2.935047336980266, ""reg_lambda"": 0.0001834782010627639, ""num_leaves"": 5, ""colsample_bytree"": 0.5750752305947293, ""subsample"": 0.6357242068690732, ""subsample_freq"": 2, ""min_child_samples"": 11}",acc,1.0
11,embed,linear,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 3.021733925981316e-07, ""reg_lambda"": 1.1077693538843658e-05, ""num_leaves"": 34, ""colsample_bytree"": 0.554231002507395, ""subsample"": 0.49902464684915465, ""subsample_freq"": 7, ""min_child_samples"": 88}",acc,1.0
12,none,none,lr,"{""l1_ratio"": 0.1717035836136713, ""C"": 0.08384623546085314}",acc,1.0
13,assoc,none,lr,"{""l1_ratio"": 0.8688102380404964, ""C"": 0.7411832631014951}",acc,1.0
14,pred,none,lr,"{""l1_ratio"": 0.48294592173478756, ""C"": 0.45349770139388806}",acc,1.0
15,embed,linear,lr,"{""l1_ratio"": 0.5777069469417031, ""C"": 1.2546070048013818}",acc,1.0
16,none,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 7.633880004179917e-05, ""early_stopping"": false}",acc,1.0
17,assoc,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.0001745674984582316, ""early_stopping"": false}",acc,1.0
18,pred,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.002698241023752013, ""early_stopping"": false}",acc,1.0
19,embed,linear,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.0008593368095991493, ""early_stopping"": false}",acc,1.0
