,selection,embed_selector,model,params,metric,score
0,none,none,dummy,"{""strategy"": ""stratified""}",acc,0.5277647058823529
1,assoc,none,dummy,"{""strategy"": ""uniform""}",acc,0.524
2,pred,none,dummy,"{""strategy"": ""stratified""}",acc,0.5195294117647059
3,embed,lgbm,dummy,"{""strategy"": ""stratified""}",acc,0.547686274509804
4,embed,linear,dummy,"{""strategy"": ""prior""}",acc,0.515921568627451
5,none,none,gandalf,"{""lr"": 0.04870956462992758, ""wd"": 1.6479470042757564e-05, ""anneal"": true, ""depth"": 8, ""gflu_dropout"": 0.06460076380893202, ""init_sparsity"": 0.10403372281228601, ""bnorm_cont"": true, ""virtual_batch"": 8}",acc,1.0
6,assoc,none,gandalf,"{""lr"": 0.07411669356595611, ""wd"": 4.540553807767012e-05, ""anneal"": true, ""depth"": 8, ""gflu_dropout"": 0.09654963002209108, ""init_sparsity"": 0.33503399827097324, ""bnorm_cont"": true, ""virtual_batch"": 8}",acc,1.0
7,pred,none,gandalf,"{""lr"": 0.007358517786548292, ""wd"": 0.00043359642275740955, ""anneal"": true, ""depth"": 4, ""gflu_dropout"": 0.07963059180605193, ""init_sparsity"": 0.3251269427709206, ""bnorm_cont"": true, ""virtual_batch"": 16}",acc,1.0
8,embed,lgbm,gandalf,"{""lr"": 0.027303978747612874, ""wd"": 7.910994594372096e-08, ""anneal"": true, ""depth"": 4, ""gflu_dropout"": 0.05939202720592708, ""init_sparsity"": 0.809536693764695, ""bnorm_cont"": true, ""virtual_batch"": 16}",acc,1.0
9,embed,linear,gandalf,"{""lr"": 0.00914712097493743, ""wd"": 4.920679349243389e-06, ""anneal"": true, ""depth"": 12, ""gflu_dropout"": 0.04029886272696108, ""init_sparsity"": 0.8812743657624695, ""bnorm_cont"": true, ""virtual_batch"": 64}",acc,0.96
10,none,none,knn,"{""n_neighbors"": 25, ""weights"": ""distance"", ""metric"": ""correlation""}",acc,0.7655686274509804
11,assoc,none,knn,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""l2""}",acc,0.7655686274509804
12,pred,none,knn,"{""n_neighbors"": 50, ""weights"": ""uniform"", ""metric"": ""correlation""}",acc,0.952392156862745
13,embed,lgbm,knn,"{""n_neighbors"": 50, ""weights"": ""uniform"", ""metric"": ""correlation""}",acc,0.9960000000000001
14,embed,linear,knn,"{""n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""cosine""}",acc,0.7655686274509804
15,none,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 0.004722087780748445, ""reg_lambda"": 4.6319036518977996e-07, ""num_leaves"": 10, ""colsample_bytree"": 0.9281129474009598, ""subsample"": 0.548100002751157, ""subsample_freq"": 0, ""min_child_samples"": 81}",acc,1.0
16,assoc,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 8.912358349159424e-07, ""reg_lambda"": 0.004584692064589906, ""num_leaves"": 2, ""colsample_bytree"": 0.6586241591633023, ""subsample"": 0.41004832525754153, ""subsample_freq"": 3, ""min_child_samples"": 11}",acc,1.0
17,pred,none,lgbm,"{""n_estimators"": 150, ""reg_alpha"": 0.3856157430059717, ""reg_lambda"": 9.320832739832914e-05, ""num_leaves"": 24, ""colsample_bytree"": 0.6773572400606078, ""subsample"": 0.6318866491777487, ""subsample_freq"": 3, ""min_child_samples"": 63}",acc,1.0
